Device Name,Diagram Code,Unit Price,Quantity,Line Total
Dell Inspiron 14,A3,699.99,1,699.99
Dell XPS 13,A4,1459.99,1,1459.99
MacBook Pro 16” (M4 Max),B3,3999,1,3999
